Article_ID,Authors,Year,Title,Journal,Volume,Issue,Pages,DOI
3YSTAYCF,"Johnson, RC; Carreiro, MM; Jin, HS; Jack, JD",2012,Within-year temporal variation and life-cycle seasonality affect stream macroinvertebrate community structure and biotic metrics,ECOLOGICAL INDICATORS,13,1,206-214,10.1016/j.ecolind.2011.06.004
9JM3IXU4,"Joubert-van der Merwe, L; Pryke, JS; Samways, MJ",2019,Well-managed grassland heterogeneity promotes butterfly conservation in a corridor network,JOURNAL OF ENVIRONMENTAL MANAGEMENT,238,NA,382-395,10.1016/j.jenvman.2019.03.021
5XHZF95I,"Van Rossum, T; Peabody, MA; Uyaguari-Diaz, MI; Cronin, KI; Chan, M; Slobodan, JR; Nesbitt, MJ; Suttle, CA; Hsiao, WWL; Tang, PKC; Prystajecky, NA; Brinkman, FSL",2015,Year-Long Metagenomic Study of River Microbiomes Across Land Use and Water Quality,FRONTIERS IN MICROBIOLOGY,6,NA,NA,10.3389/fmicb.2015.01405
ZHKLEY9P,"Roth, M; Muller-Meissner, A; Michiels, HG; Hauck, M",2022,Vegetation changes in the understory of nitrogen-sensitive temperate forests over the past 70 years,FOREST ECOLOGY AND MANAGEMENT,503,NA,NA,10.1016/j.foreco.2021.119754
IXU7TSJF,"Wahren, CHA; Walker, MD; Bret-Harte, MS",2005,Vegetation responses in Alaskan arctic tundra after 8 years of a summer warming and winter snow manipulation experiment,GLOBAL CHANGE BIOLOGY,11,4,537-552,10.1111/j.1365-2486.2005.00927.x
WGLDXPTZ,"Drury, B; Rosi-Marshall, E; Kelly, JJ",2013,Wastewater Treatment Effluent Reduces the Abundance and Diversity of Benthic Bacterial Communities in Urban and Suburban Rivers,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,79,6,1897-1905,10.1128/AEM.03527-12
BAARE2XW,"Moon, HB; Yoon, SP; Jung, RH; Choi, M",2008,Wastewater treatment plants (WWTPs) as a source of sediment contamination by toxic organic pollutants and fecal sterols in a semi-enclosed bay in Korea,CHEMOSPHERE,73,6,880-889,10.1016/j.chemosphere.2008.07.038
U3ALBFFZ,"Almeida, AR; Domingues, I; Henriques, I",2021,Zebrafish and water microbiome recovery after oxytetracycline exposure,ENVIRONMENTAL POLLUTION,272,NA,NA,10.1016/j.envpol.2020.116371
3W6UHAU6,"Greenwood, H; O'Dowd, DJ; Lake, PS",2004,Willow (Salix x rubens) invasion of the riparian zone in south-eastern Australia: reduced abundance and altered composition of terrestrial arthropods,DIVERSITY AND DISTRIBUTIONS,10,5-6,485-492,10.1111/j.1366-9516.2004.00104.x
QFU9NSKH,"Cours, M; Vanaverbeke, J; Parmentier, K; Knockaert, M; Higuti, J; Martens, K; Schon, I",2021,Water chemistry and not urbanization influences community structure of non-marine Ostracoda (Crustacea) in northern Belgium,BELGIAN JOURNAL OF ZOOLOGY,151,NA,149-167,10.26496/bjz.2021.91
WPAMKD82,"Jones, IL; Peres, CA; Benchimol, M; Bunnefeld, L; Dent, DH",2017,Woody lianas increase in dominance and maintain compositional integrity across an Amazonian dam-induced fragmented landscape,PLOS ONE,12,10,NA,10.1371/journal.pone.0185527
MV8RZUAN,"Preuss, JF; Greenspan, SE; Rossi, EM; Gonsales, EML; Neely, WJ; Valiati, VH; Woodhams, DC; Becker, CG; Tozetti, AM",2020,Widespread Pig Farming Practice Linked to Shifts in Skin Microbiomes and Disease in Pond-Breeding Amphibians,ENVIRONMENTAL SCIENCE & TECHNOLOGY,54,18,11301-11312,10.1021/acs.est.0c03219
5Q7R7FTF,"Clark, GF; Kelaher, BP; Dafforn, KA; Coleman, MA; Knott, NA; Marzinelli, EM; Johnston, EL",2015,What does impacted look like? High diversity and abundance of epibiota in modified estuaries,ENVIRONMENTAL POLLUTION,196,NA,12-20,10.1016/j.envpol.2014.09.017
LAHY2KDY,"Zoe, LD",2015,Warming favours small-bodied organisms through enhanced reproduction and compositional shifts in belowground systems,SOIL BIOLOGY & BIOCHEMISTRY,91,NA,271-278,10.1016/j.soilbio.2015.09.003
E9D6SUHX,"Karp, DS; Frishkoff, LO; Echeverri, A; Zook, J; Juarez, P; Chan, KMA",2018,Agriculture erases climate-driven beta-diversity in Neotropical bird communities,GLOBAL CHANGE BIOLOGY,24,1,338-349,10.1111/gcb.13821
K5U6H65E,"Fugere, V; Kasangaki, A; Chapman, LJ",2016,Land use changes in an afrotropical biodiversity hotspot affect stream alpha and beta diversity,ECOSPHERE,7,6,NA,10.1002/ecs2.1355
U8SSASH4,"Dias, RA; Gianuca, AT; Vizentin-Bugoni, J; Goncalves, MSS; Bencke, GA; Bastazini, VAG",2017,Livestock disturbance in Brazilian grasslands influences avian species diversity via turnover,BIODIVERSITY AND CONSERVATION,26,10,2473-2490,10.1007/s10531-017-1370-4
KNHI9YNE,"Lu, YW; Liu, X; Zhou, SR",2021,Nitrogen Addition and Arbuscular Mycorrhizal Fungi Beta Diversity: Patterns and Mechanisms,FRONTIERS IN ENVIRONMENTAL SCIENCE,9,NA,NA,10.3389/fenvs.2021.701653
7VPK6HI6,"Aspin, TWH; Matthews, TJ; Khamis, K; Milner, AM; Wang, ZN; O'Callaghan, MJ; Ledger, ME",2018,Drought intensification drives turnover of structure and function in stream invertebrate communities,ECOGRAPHY,41,12,1992-2004,10.1111/ecog.03711
AGPHE7FN,"Zhang, C; Ding, CZ; Ding, LY; Chen, LQ; Hu, JM; Tao, J; Jiang, XM",2019,"Large-scale cascaded dam constructions drive taxonomic and phylogenetic differentiation of fish fauna in the Lancang River, China",REVIEWS IN FISH BIOLOGY AND FISHERIES,29,4,895-916,10.1007/s11160-019-09580-0
BBRRJFT7,"Li, XP; Zhu, HM; Geisen, S; Bellard, C; Hu, F; Li, HX; Chen, XY; Liu, MQ",2020,Agriculture erases climate constraints on soil nematode communities across large spatial scales,GLOBAL CHANGE BIOLOGY,26,2,919-930,10.1111/gcb.14821
CHGCJ963,"Bertoncin, APD; Pinha, GD; Baumgartner, MT; Mormul, RP",2019,Extreme drought events can promote homogenization of benthic macroinvertebrate assemblages in a floodplain pond in Brazil,HYDROBIOLOGIA,826,1,379-393,10.1007/s10750-018-3756-z
5SRP5AET,"Simoes, NR; Braghin, LSM; Dure, GAV; Santos, JS; Sonoda, SL; Bonecker, CC",2020,Changing taxonomic and functional beta-diversity of cladoceran communities in Northeastern and South Brazil,HYDROBIOLOGIA,847,18,3845-3856,10.1007/s10750-020-04234-w
L9HTDK2L,"Ramirez-Ponce, A; Calderon-Patron, JM; Vasquez, HMG; Moreno, CE",2019,"Biotic heterogeneity among scarab beetle communities in an anthropized landscape in the Central Valleys of Oaxaca, Mexico",JOURNAL OF INSECT CONSERVATION,23,4,765-776,10.1007/s10841-019-00169-3
8AFC489Y,"Merdas, S; Kouba, Y; Mostephaoui, T; Farhi, Y; Chenchouni, H",2021,Livestock grazing-induced large-scale biotic homogenization in arid Mediterranean steppe rangelands,LAND DEGRADATION & DEVELOPMENT,32,17,5099-5107,10.1002/ldr.4095
CZP9WW8Y,"Sonnier, G; Johnson, SE; Amatangelo, KL; Rogers, DA; Waller, DM",2014,Is taxonomic homogenization linked to functional homogenization in temperate forests?,GLOBAL ECOLOGY AND BIOGEOGRAPHY,23,8,894-902,10.1111/geb.12164
HY6M7CIY,"Paquin, LJ; Bourgeois, B; Pellerin, S; Alard, D; Poulin, M",2021,Native plant turnover and limited exotic spread explain swamp biotic differentiation with urbanization,APPLIED VEGETATION SCIENCE,24,1,NA,10.1111/avsc.12550
V3P6LZJ4,"Lacson, AZ; Pilo, D; Pereira, F; Carvalho, AN; Curdia, J; Caetano, M; Drago, T; Santos, MN; Gaspar, MB",2019,A multimetric approach to evaluate offshore mussel aquaculture effects on the taxonomical and functional diversity of macrobenthic communities,MARINE ENVIRONMENTAL RESEARCH,151,NA,NA,10.1016/j.marenvres.2019.104774
BKVUAM5K,"Rubene, D; Schroeder, M; Ranius, T",2015,"Diversity patterns of wild bees and wasps in managed boreal forests: Effects of spatial structure, local habitat and surrounding landscape",BIOLOGICAL CONSERVATION,184,NA,201-208,10.1016/j.biocon.2015.01.029
JAFQL52Q,"Mendes, TP; Montag, LFD; Alvarado, ST; Juen, L",2021,Assessing habitat quality on alpha and beta diversity of Odonata larvae (Insect) in logging areas in Amazon forest,HYDROBIOLOGIA,848,5,1147-1161,10.1007/s10750-021-04524-x
SLS7EHTD,"Zhang, Y; Cheng, L; Li, KY; Zhang, L; Cai, YJ; Wang, XL; Heino, J",2019,Nutrient enrichment homogenizes taxonomic and functional diversity of benthic macroinvertebrate assemblages in shallow lakes,LIMNOLOGY AND OCEANOGRAPHY,64,3,1047-1058,10.1002/lno.11096
N98U7HZI,"Sharma, K; Acharya, BK; Sharma, G; Valente, D; Pasimeni, MR; Petrosillo, I; Selvan, T",2020,"Land use effect on butterfly alpha and beta diversity in the Eastern Himalaya, India",ECOLOGICAL INDICATORS,110,NA,NA,10.1016/j.ecolind.2019.105605
T2CIM233,"Shukla, R; Bhat, A",2018,Beta-diversity partitioning and drivers of variations in tropical fish community structure in central India,AQUATIC SCIENCES,80,2,NA,10.1007/s00027-018-0568-1
H44UKYWD,"Espinosa, ACE; Shimano, Y; Rolim, S; Maioli, L; Juen, L; Dunck, B",2020,Effects of mining and reduced turnover of Ephemeroptera (Insecta) in streams of the Eastern Brazilian Amazon,JOURNAL OF INSECT CONSERVATION,24,6,1061-1072,10.1007/s10841-020-00275-7
KUNV74ZS,"Verrall, B; Green, K; Pickering, CM",2021,Dynamics in plant diversity and composition on Australian alpine summits over time,BIODIVERSITY AND CONSERVATION,30,6,1855-1880,10.1007/s10531-021-02171-1
PG7IUPNP,"Korasaki, V; Braga, RF; Zanetti, R; Moreira, FMS; Vaz-de-Mello, FZ; Louzada, J",2013,Conservation value of alternative land-use systems for dung beetles in Amazon: valuing traditional farming practices,BIODIVERSITY AND CONSERVATION,22,6-7,1485-1499,10.1007/s10531-013-0487-3
XWNKVAMF,"Fackelmann, G; Gillingham, MAF; Schmid, J; Heni, AC; Wilhelm, K; Schwensow, N; Sommer, S",2021,Human encroachment into wildlife gut microbiomes,COMMUNICATIONS BIOLOGY,4,1,NA,10.1038/s42003-021-02315-7
DXCLTQMD,"Kirk, DA; Hebert, K; Goldsmith, FB",2019,Grazing effects on woody and herbaceous plant biodiversity on a limestone mountain in northern Tunisia,PEERJ,7,NA,NA,10.7717/peerj.7296
AKNZ6JDG,"McLean, KI; Mushet, DM; Sweetman, JN; Anteau, MJ; Wiltermuth, MT",2020,Invertebrate communities of Prairie-Pothole wetlands in the age of the aquatic Homogenocene,HYDROBIOLOGIA,847,18,3773-3793,10.1007/s10750-019-04154-4
XGZ6TE62,"Johnson, RK; Angeler, DG",2014,Effects of agricultural land use on stream assemblages: Taxon-specific responses of alpha and beta diversity,ECOLOGICAL INDICATORS,45,NA,386-393,10.1016/j.ecolind.2014.04.028
MHIP68UD,"Srinivasan, U; Eisen, PR; Wilcove, DS",2019,Annual temperature variation influences the vulnerability of montane bird communities to land-use change,ECOGRAPHY,42,12,2084-2094,10.1111/ecog.04611
XT7XPE2U,"Vallejos, MAV; Padial, AA; Vitule, JRS",2016,Human-Induced Landscape Changes Homogenize Atlantic Forest Bird Assemblages through Nested Species Loss,PLOS ONE,11,2,NA,10.1371/journal.pone.0147058
55SYCXQP,"Mukhtar, H; Lin, CM; Wunderlich, RF; Cheng, LC; Ko, MC; Lin, YP",2021,Climate and land cover shape the fungal community structure in topsoil,SCIENCE OF THE TOTAL ENVIRONMENT,751,NA,NA,10.1016/j.scitotenv.2020.141721
QVCP6SYI,"Solar, RRD; Barlow, J; Andersen, AN; Schoereder, JH; Berenguer, E; Ferreira, JN; Gardner, TA",2016,Biodiversity consequences of land-use change and forest disturbance in the Amazon: A multi-scale assessment using ant communities,BIOLOGICAL CONSERVATION,197,NA,98-107,10.1016/j.biocon.2016.03.005
8T2GEE9X,"Iacarella, JC; Adamczyk, E; Bowen, D; Chalifour, L; Eger, A; Heath, W; Helms, S; Hessing-Lewis, M; Hunt, BPV; MacInnis, A; O'Connor, MI; Robinson, CLK; Yakimishyn, J; Baum, JK",2018,Anthropogenic disturbance homogenizes seagrass fish communities,GLOBAL CHANGE BIOLOGY,24,5,1904-1918,10.1111/gcb.14090
ZIRT2Q65,"Li, YT; He, JS; Wang, H; Zhou, JZ; Yang, YF; Chu, HY",2021,Lowered water table causes species substitution while nitrogen amendment causes species loss in alpine wetland microbial communities,PEDOSPHERE,31,6,912-922,10.1016/S1002-0160(21)60023-1
DIBGN7L7,"Salomao, RP; Favila, ME; Gonzalez-Tokman, D",2020,"Spatial and temporal changes in the dung beetle diversity of a protected, but fragmented, landscape of the northernmost Neotropical rainforest",ECOLOGICAL INDICATORS,111,NA,NA,10.1016/j.ecolind.2019.105968
2MQSFCF3,"Mirza, BS; McGlinn, DJ; Bohannan, BJM; Nusslein, K; Tiedje, JM; Rodrigues, JLM",2020,Diazotrophs Show Signs of Restoration in Amazon Rain Forest Soils with Ecosystem Rehabilitation,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,86,10,NA,10.1128/AEM.00195-20
D65EXN5T,"Frishkoff, LO; Gabot, E; Sandler, G; Marte, C; Mahler, DL",2019,Elevation shapes the reassembly of Anthropocene lizard communities,"NATURE ECOLOGY & EVOLUTION",3,4,638-646,10.1038/s41559-019-0819-0
H53GCIHD,"Santos, AD; Sales, PCL; Ribeiro, DB; Silva, PRR",2020,Habitat conversion affects beta diversity in frugivorous butterfly assemblages,STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT,55,3,180-192,10.1080/01650521.2019.1710335
CDW8IACH,"Wang, BH; Zheng, XF; Zhang, HJ; Xiao, FS; Gu, H; Zhang, KK; He, ZL; Liu, X; Yan, QY",2020,"Bacterial community responses to tourism development in the Xixi National Wetland Park, China",SCIENCE OF THE TOTAL ENVIRONMENT,720,NA,NA,10.1016/j.scitotenv.2020.137570
55UH2VQI,"Barboza, LGA; Mormul, RP; Higuti, J",2015,Beta diversity as a tool for determining priority streams for management actions,WATER SCIENCE AND TECHNOLOGY,71,10,1429-1435,10.2166/wst.2015.112
4KK897QA,"Newton, AC; Walls, RM; Golicher, D; Keith, SA; Diaz, A; Bullock, JM",2012,"Structure, composition and dynamics of a calcareous grassland metacommunity over a 70-year interval",JOURNAL OF ECOLOGY,100,1,196-209,10.1111/j.1365-2745.2011.01923.x
KF223P5F,"de Castro, LS; Lopes, AAD; Colares, L; Palheta, L; Menezes, MD; Fernandes, LM; Dunck, B",2021,Dam promotes downriver functional homogenization of phytoplankton in a transitional river-reservoir system in Amazon,LIMNOLOGY,22,2,245-257,10.1007/s10201-021-00650-6
U4D7XJPM,"Siqueira, T; Lacerda, CGLT; Saito, VS",2015,How Does Landscape Modification Induce Biological Homogenization in Tropical Stream Metacommunities?,BIOTROPICA,47,4,509-516,10.1111/btp.12224
UHMVUX7X,"Savilaakso, S; Koivisto, J; Veteli, TO; Pusenius, J; Roininen, H",2009,Long lasting impact of forest harvesting on the diversity of herbivorous insects,BIODIVERSITY AND CONSERVATION,18,14,3931-3948,10.1007/s10531-009-9689-0
HCLJDLAY,"Both, C; Melo, AS",2015,Diversity of anuran communities facing bullfrog invasion in Atlantic Forest ponds,BIOLOGICAL INVASIONS,17,4,1137-1147,10.1007/s10530-014-0783-1
LXZHESRA,"Morales, SE; Trouche, B; Wakelin, S; Banabas, M; Nelson, PN",2018,Shifts in prokaryotic communities under forest and grassland within a tropical mosaic landscape,APPLIED SOIL ECOLOGY,125,NA,156-161,10.1016/j.apsoil.2017.11.028
9Y4AL2ZL,"Grman, E; Orrock, JL; Habeck, CW; Ledvina, JA; Brudvig, LA",2015,Altered beta diversity in post-agricultural woodlands: two hypotheses and the role of scale,ECOGRAPHY,38,6,614-621,10.1111/ecog.01159
DV8T9WRE,"Piazza, MV; Garibaldi, LA; Kitzberger, T; Chaneton, EJ",2016,Impact of introduced herbivores on understory vegetation along a regional moisture gradient in Patagonian beech forests,FOREST ECOLOGY AND MANAGEMENT,366,NA,11-22,10.1016/j.foreco.2016.01.035
JZFVKEBK,"Sato, RY; Costa, APL; Padial, AA",2021,The invasive tropical tanner grass decreases diversity of the native aquatic macrophyte community at two scales in a subtropical tidal river,ACTA BOTANICA BRASILICA,35,1,140-150,10.1590/0102-33062020abb0360
V5AF8SAS,"Liu, C; Guenard, B; Blanchard, B; Peng, YQ; Economo, EP",2016,"Reorganization of taxonomic, functional, and phylogenetic ant biodiversity after conversion to rubber plantation",ECOLOGICAL MONOGRAPHS,86,2,215-227,10.1890/15-1464.1
H3Y2RD64,"Vafeiadou, AM; Bretana, BLP; Van Colen, C; dos Santos, GAP; Moens, T",2018,Global warming-induced temperature effects to intertidal tropical and temperate meiobenthic communities,MARINE ENVIRONMENTAL RESEARCH,142,NA,163-177,10.1016/j.marenvres.2018.10.005
HWJH5EXR,"Jankowski, JE; Kyle, KO; Gasner, MR; Ciecka, AL; Rabenold, KN",2021,Response of avian communities to edges of tropical montane forests: Implications for the future of endemic habitat specialists,GLOBAL ECOLOGY AND CONSERVATION,30,NA,NA,10.1016/j.gecco.2021.e01776
EZC48Q84,"Johnson, SE; Mudrak, EL; Waller, DM",2014,Local increases in diversity accompany community homogenization in floodplain forest understories,JOURNAL OF VEGETATION SCIENCE,25,3,885-896,10.1111/jvs.12147
Q7Q52IWF,"Rios, AIA; Moncada, B; Lucking, R",2015,Epiphyte homogenization and de-diversification on alien Eucalyptus versus native Quercus forest in the Colombian Andes: a case study using lirellate Graphidaceae lichens,BIODIVERSITY AND CONSERVATION,24,5,1239-1252,10.1007/s10531-014-0855-7
B5LF2JNN,"Lukhele, SM; Shapiro, JT; Mahlaba, TAM; Sibiya, MD; McCleery, RA; Fletcher, RJ; Monadjem, A",2021,Influence of sugarcane growth stages on bird diversity and community structure in an agricultural-savanna environment,HELIYON,7,3,NA,10.1016/j.heliyon.2021.e06563
P2KBGVRK,"Hunter, JT; Hunter, B; Mitchell-Williams, J",2020,"Effects of Opuntia stricta on floristic composition and diversity within Broughton Island Nature Reserve, North Coast, New South Wales",PACIFIC CONSERVATION BIOLOGY,27,3,267-274,10.1071/PC20062
2IIMFEMG,"Martinez, E; Ros, M; Bonilla, MA; Dirzo, R",2015,Habitat Heterogeneity Affects Plant and Arthropod Species Diversity and Turnover in Traditional Cornfields,PLOS ONE,10,7,NA,10.1371/journal.pone.0128950
HTYRN6SC,"Bruning, LZ; Krieger, M; Meneses-Pelayo, E; Eisenhauer, N; Pinilla, MPR; Reu, B; Ernst, R",2018,Land-use heterogeneity by small-scale agriculture promotes amphibian diversity in montane agroforestry systems of northeast Colombia,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,264,NA,15-23,10.1016/j.agee.2018.05.011
2UW58JCN,"Mao, Q; Liao, CC; Wu, ZL; Guan, WB; Yang, WD; Tang, YQ; Wu, G",2019,Effects of Land Cover Pattern Along Urban-Rural Gradient on Bird Diversity in Wetlands,DIVERSITY-BASEL,11,6,NA,10.3390/d11060086
